run,suffix
1,[16336| 51605| 28325| 72504| 47905| 35372| 88326| 71650| 92844| 9622| 91909| 39049| 126773| 105992| 87724| 31116| 103257| 114809| 85199| 46505| 40314| 39981| 78516| 94046| 67635]
2,[31960| 107550| 37460| 85760| 32859| 81959| 86793| 115373| 97835| 118312| 40704| 8702| 71800| 86068| 87235| 88424| 81628| 59595| 99726| 80580| 881| 11625| 51540| 34468| 99904]
3,[51618| 12992| 3762| 127439| 81562| 44321| 95788| 45081| 58628| 49424| 93124| 12741| 39001| 2623| 18182| 92695| 67916| 55045| 18903| 53130| 42902| 12756| 28670| 64901| 64065]
4,[32091| 3563| 27363| 881| 47239| 64963| 86786| 121265| 46549| 73815| 17887| 59792| 48047| 64929| 111476| 53365| 24443| 104592| 41761| 33045| 71173| 227| 72127| 51424| 15397]
5,[105812| 3189| 22827| 100591| 35773| 23677| 125399| 41941| 10344| 93595| 18128| 105755| 9308| 126935| 81533| 323| 12702| 112610| 35803| 87417| 18109| 83524| 45360| 72054| 5243]
6,[13879| 105196| 12738| 14921| 63355| 99978| 40465| 54080| 21655| 115720| 65998| 53251| 39419| 122353| 92565| 39894| 78122| 39468| 53233| 18199| 93744| 45115| 98799| 60582| 27938]
7,[55375| 95625| 78432| 51464| 124379| 83544| 65321| 68131| 108341| 110956| 64319| 54488| 113007| 110596| 91421| 112972| 1519| 53018| 35129| 125446| 12159| 2966| 80817| 25448| 82913]
8,[28729| 117133| 22727| 56425| 34271| 52000| 81833| 11363| 19766| 90739| 88532| 54602| 121448| 103429| 46330| 9599| 86222| 59202| 32782| 85264| 47481| 53493| 24775| 9921| 35241]
9,[64365| 106564| 59767| 59586| 67768| 59792| 92526| 82933| 113855| 15490| 1746| 59159| 113082| 46738| 100077| 82362| 60967| 103593| 41963| 59038| 65886| 18445| 85367| 124531| 73203]
10,[85267| 85918| 40149| 84831| 49308| 55338| 78212| 18151| 70486| 124327| 88555| 6094| 66973| 51693| 91688| 48351| 34225| 61469| 65505| 70893| 26350| 52168| 41327| 100682| 17935]
11,[90444| 91016| 99831| 18660| 17000| 65457| 8989| 94529| 30359| 64846| 47836| 53528| 68301| 113689| 96550| 37988| 55228| 41564| 52241| 88446| 39208| 49747| 78136| 25801| 5583]
12,[66970| 21492| 31680| 24536| 55005| 28533| 88119| 41925| 95150| 70218| 33860| 15947| 81371| 29497| 51939| 33078| 36544| 38594| 32740| 12943| 293| 66049| 3417| 29492| 10636]
13,[96693| 85173| 41247| 113266| 69539| 73255| 5763| 118899| 89982| 39028| 77117| 76400| 43589| 33079| 43227| 65440| 43158| 65468| 116298| 65563| 14965| 33125| 53220| 98258| 69701]
14,[17545| 58584| 22025| 67371| 78229| 2590| 122141| 14456| 57585| 15019| 39951| 46315| 30717| 120568| 37214| 62730| 97022| 111901| 4167| 88475| 18452| 72320| 89240| 74666| 28586]
15,[126613| 11954| 26713| 116436| 22194| 19244| 87104| 46980| 78808| 53210| 50387| 66092| 57726| 8210| 46549| 36820| 70533| 59231| 61722| 32299| 39468| 27674| 42678| 862| 52769]
16,[51471| 76565| 92027| 55228| 63456| 33605| 38087| 5713| 12489| 112924| 117331| 56310| 56082| 66361| 1431| 14012| 50310| 96064| 77129| 66666| 42393| 53328| 43002| 3750| 46906]
17,[46252| 90109| 78892| 114660| 111244| 37904| 44598| 40132| 56485| 38567| 116787| 42224| 67294| 12046| 94865| 15628| 45463| 92673| 126018| 36342| 123928| 45159| 59201| 67629| 105362]
18,[21336| 6382| 90949| 107477| 125625| 30696| 79845| 31783| 37031| 121185| 16474| 18782| 70146| 42829| 34153| 101473| 105116| 21078| 69661| 49080| 94721| 59767| 27016| 75567| 33006]
19,[53605| 30232| 113271| 28907| 55718| 12628| 35876| 4263| 117079| 74927| 56002| 29079| 54163| 7478| 81924| 112174| 106788| 48613| 51624| 21788| 56710| 73963| 127219| 14686| 54995]
20,[122214| 59725| 84095| 44412| 72101| 69804| 121707| 61539| 87833| 37097| 117661| 11566| 112179| 58653| 84761| 22921| 106997| 53225| 12442| 41285| 14526| 106560| 5915| 91565| 97169]
21,[46566| 45408| 24456| 32962| 3859| 8247| 19544| 71166| 27682| 75447| 62371| 4844| 40735| 36165| 85772| 75913| 21856| 41550| 40267| 21503| 7413| 64645| 4424| 83071| 3618]
