run,iteration,fitness,sure_generated
1,0,7.624102636327734e-06,0
2,0,2.278444071635022e-06,0
3,0,7.089961968631542e-07,0
4,0,6.150742137833731e-07,0
5,0,1.448751845600782e-06,0
6,0,1.0407038644189015e-05,0
7,0,1.4004536751599517e-05,0
8,0,1.3956172324469662e-06,0
9,0,4.339150109444745e-06,0
10,0,3.019563109774026e-06,0
11,0,4.325831923779333e-06,0
12,0,3.572988589439774e-07,0
13,0,1.7796317024476593e-06,0
14,0,1.1657750746962847e-06,0
15,0,4.247258402756415e-06,0
16,0,5.080139999336097e-06,0
17,0,4.127006377530051e-06,0
18,0,3.7585882637358736e-06,0
19,0,6.490151918114861e-07,0
20,0,2.8413392101356294e-06,0
21,0,7.3235064519394655e-06,0
22,0,4.057106707477942e-06,0
23,0,1.5758612789795734e-05,0
24,0,2.3312552457355196e-06,0
25,0,5.274441150504572e-07,0
26,0,2.3839247660362162e-05,0
27,0,8.04766216333519e-07,0
28,0,0.00025557659682817757,0
29,0,1.351717219222337e-05,0
30,0,5.2446262088778894e-06,0
1,1,5.6541780395491514e-06,0
2,1,2.8449737783375895e-06,0
3,1,1.3083081285003573e-06,0
4,1,2.877939664358564e-07,0
5,1,1.3874488331566681e-06,0
6,1,1.674790109973401e-05,0
7,1,1.0203681085840799e-05,0
8,1,2.331280711587169e-06,0
9,1,4.9718159971234854e-06,0
10,1,5.230550868873252e-06,0
11,1,3.6332057788968086e-06,0
12,1,5.254564143797325e-07,0
13,1,2.1678365555999335e-06,0
14,1,8.78713876772963e-07,0
15,1,4.674142019212013e-06,0
16,1,8.70438088895753e-06,0
17,1,2.7840278562507592e-06,0
18,1,3.0292476367321797e-06,0
19,1,1.319506850450125e-06,0
20,1,4.619596893462585e-06,0
21,1,8.362315384147223e-06,0
22,1,4.418120170157636e-06,0
23,1,1.0446986379974987e-05,0
24,1,1.64036680416757e-06,0
25,1,8.67569553975045e-07,0
26,1,3.400559944566339e-05,0
27,1,1.2132885558457929e-06,0
28,1,1.9762628653552383e-05,0
29,1,2.308069815626368e-05,0
30,1,3.62336481884995e-06,0
1,2,8.805785000731703e-06,0
2,2,3.0522444376401836e-06,0
3,2,1.8416885723127052e-06,0
4,2,5.995219680698938e-07,0
5,2,1.5624912066414254e-06,0
6,2,1.9427739971433766e-05,0
7,2,9.308755579695571e-06,0
8,2,2.3885766040621093e-06,0
9,2,2.7359105843061116e-06,0
10,2,3.092944325544522e-06,0
11,2,7.033891051833052e-06,0
12,2,4.1943533801713784e-07,0
13,2,6.1367868511297274e-06,0
14,2,7.103358825588657e-07,0
15,2,6.758589279343141e-06,0
16,2,6.3356387727253605e-06,0
17,2,2.742730430327356e-06,0
18,2,2.3804448119335575e-06,0
19,2,1.7796852489482262e-06,0
20,2,3.8069103993620956e-06,0
21,2,9.534826858725864e-06,0
22,2,5.533544481295394e-06,0
23,2,2.7786923055828083e-06,0
24,2,2.767070327536203e-06,0
25,2,5.468703534461383e-07,0
26,2,3.985804505646229e-05,0
27,2,1.155506993200106e-06,0
28,2,0.00025498884497210383,0
29,2,7.2533293860033154e-06,0
30,2,3.048683538509067e-06,0
1,3,6.610762852687913e-07,0
2,3,5.172651981411036e-06,0
3,3,1.3534667004932999e-06,0
4,3,6.945475661268574e-07,0
5,3,1.85095439064753e-06,0
6,3,1.2433407391654328e-05,0
7,3,1.2660563697863836e-05,0
8,3,4.3312929847161286e-06,0
9,3,3.4071842947014375e-06,0
10,3,7.28851273379405e-06,0
11,3,5.821384547743946e-06,0
12,3,4.389384287151188e-07,0
13,3,4.252379767422099e-06,0
14,3,1.6770450201875065e-06,0
15,3,4.67265272163786e-06,0
16,3,1.3235544429335278e-05,0
17,3,5.138148935657227e-06,0
18,3,4.3787840695586056e-06,0
19,3,1.421710862814507e-06,0
20,3,2.3984437120816438e-06,0
21,3,6.692652277706657e-06,0
22,3,2.54806809607544e-06,0
23,3,1.8551470930106007e-05,0
24,3,1.2928201158501906e-06,0
25,3,5.047990043749451e-07,0
26,3,3.7408495700219646e-05,0
27,3,1.203295028062712e-06,0
28,3,6.982798822718905e-06,0
29,3,1.919429996632971e-05,0
30,3,5.806250555906445e-06,0
1,4,6.821658644184936e-06,0
2,4,3.765087058127392e-06,0
3,4,9.505460525360832e-07,0
4,4,4.119219454423728e-07,0
5,4,2.2419878860091558e-06,0
6,4,8.43661564431386e-06,0
7,4,1.2770114153681789e-05,0
8,4,7.179821750469273e-06,0
9,4,3.3408941817469895e-06,0
10,4,5.41719145985553e-06,0
11,4,9.248636160918977e-06,0
12,4,3.5970131762042e-07,0
13,4,3.875898528349353e-06,0
14,4,4.123038252146216e-06,0
15,4,3.904385721398285e-06,0
16,4,1.0619077329465654e-05,0
17,4,0.03321417421102524,0
18,4,4.283669113647193e-06,0
19,4,1.9374203930055955e-06,0
20,4,5.58678584638983e-06,0
21,4,1.491576313128462e-05,0
22,4,7.681940587644931e-06,0
23,4,6.988560471654637e-06,0
24,4,6.268203378567705e-06,0
25,4,4.31563790925793e-07,0
26,4,3.362780626048334e-05,0
27,4,1.975623490579892e-06,0
28,4,0.0002448037266731262,0
29,4,2.0318720999057405e-05,0
30,4,4.477277343539754e-06,0
1,5,7.069817002047785e-06,0
2,5,5.332937234925339e-06,0
3,5,6.9506832005572505e-06,0
4,5,2.201828465331346e-06,0
5,5,8.631044693174772e-06,0
6,5,8.874714694684371e-06,0
7,5,2.4833710995153524e-05,0
8,5,7.887300853326451e-06,0
9,5,5.311446329869796e-06,0
10,5,3.0208493626560085e-06,0
11,5,8.820041330181994e-06,0
12,5,6.6569891714607365e-06,0
13,5,9.008655069919769e-06,0
14,5,3.5505277082847897e-06,0
15,5,5.4714150792278815e-06,0
16,5,6.23870892013656e-06,0
17,5,0.02971305511891842,0
18,5,2.0706449959106976e-06,0
19,5,1.5666886383769452e-06,0
20,5,5.991053967591142e-06,0
21,5,1.2760023309965618e-05,0
22,5,9.96082690107869e-06,0
23,5,1.3151393432053737e-05,0
24,5,5.864470949745737e-06,0
25,5,5.207784852245823e-07,0
26,5,3.772790660150349e-05,0
27,5,1.5832920325919986e-06,0
28,5,1.5635279851267114e-05,0
29,5,3.100245157838799e-05,0
30,5,2.287030156367109e-06,0
1,6,7.657810783712193e-06,0
2,6,6.655200195382349e-07,0
3,6,3.621200903580757e-06,0
4,6,1.3728471230933792e-06,0
5,6,3.296630666227429e-06,0
6,6,8.383442036574706e-06,0
7,6,1.9179293303750455e-05,0
8,6,2.0307813883846393e-06,0
9,6,4.469812211027602e-06,0
10,6,2.967597083625151e-06,0
11,6,9.36884680413641e-06,0
12,6,3.927049419871764e-06,0
13,6,1.782360595825594e-05,0
14,6,2.147833356502815e-06,0
15,6,7.049508894851897e-06,0
16,6,5.371646238927497e-06,0
17,6,0.04184957593679428,0
18,6,3.526366526784841e-06,0
19,6,2.586933760539978e-06,0
20,6,5.39242410013685e-06,0
21,6,4.920056198898237e-06,0
22,6,1.1013505172741134e-05,0
23,6,1.1673678272927646e-05,0
24,6,6.587979441974312e-06,0
25,6,2.5058566279767547e-06,0
26,6,4.477528273127973e-05,0
27,6,2.8787655992346117e-06,0
28,6,0.00046699115773662925,0
29,6,2.4404604118899442e-05,0
30,6,1.53872933879029e-05,0
1,7,7.07242588759982e-06,0
2,7,5.234545369603438e-06,0
3,7,7.656466550542973e-06,0
4,7,2.617314748931676e-06,0
5,7,9.095922905544285e-06,0
6,7,1.6492420400027186e-05,0
7,7,2.037145895883441e-05,0
8,7,4.58783506473992e-06,0
9,7,6.386113000189653e-06,0
10,7,4.458030616660835e-06,0
11,7,4.9405980462324806e-06,0
12,7,5.139905624673702e-06,0
13,7,1.2045950825267937e-05,0
14,7,2.546614950915682e-06,0
15,7,5.749323463533074e-06,0
16,7,1.5187155213425285e-06,0
17,7,3.983709029853344e-05,0
18,7,3.3565183912287466e-06,0
19,7,2.8219210435054265e-06,0
20,7,6.429008408304071e-06,0
21,7,8.277317647298332e-06,0
22,7,1.2544016499305144e-05,0
23,7,4.481381949972274e-07,0
24,7,6.62305683363229e-06,0
25,7,2.3793209038558416e-06,0
26,7,5.1770844038401265e-06,0
27,7,3.844118964480003e-06,0
28,7,0.013537904247641563,0
29,7,2.779854548862204e-05,0
30,7,1.3734328604186885e-05,0
1,8,1.974020960915368e-05,0
2,8,7.691469363635406e-06,0
3,8,1.1188528333150316e-05,0
4,8,2.8902816211484605e-06,0
5,8,6.991248028498376e-06,0
6,8,3.0985279408923816e-06,0
7,8,2.871471588150598e-05,0
8,8,1.2035411600663792e-05,0
9,8,3.1480797133554006e-06,0
10,8,3.929881131625734e-06,0
11,8,1.0333572390663903e-05,0
12,8,1.5041177903185599e-05,0
13,8,2.775534085230902e-05,0
14,8,1.4142739019007422e-05,0
15,8,5.948755188001087e-06,0
16,8,4.7212157369358465e-05,0
17,8,0.050246771425008774,0
18,8,2.934586746050627e-06,0
19,8,4.45555542682996e-06,0
20,8,2.1008322619309183e-06,0
21,8,2.211165519838687e-05,0
22,8,7.1602935349801555e-06,0
23,8,1.2618109394679777e-05,0
24,8,6.279258741415106e-06,0
25,8,1.5508564956689952e-06,0
26,8,5.5543696362292394e-05,0
27,8,3.978261247539194e-06,0
28,8,0.005164145026355982,0
29,8,2.0261886675143614e-05,0
30,8,8.714775503904093e-06,0
1,9,9.350294021714944e-06,0
2,9,2.13107637137e-06,0
3,9,1.9768658603425138e-05,0
4,9,1.1128508958790917e-06,0
5,9,1.009544575936161e-05,0
6,9,1.1317380085529294e-05,0
7,9,2.2558499040314928e-05,0
8,9,1.4304046999313869e-05,0
9,9,4.660675585910212e-06,0
10,9,4.791571427631425e-06,0
11,9,1.4547988030244596e-05,0
12,9,2.1567886506090872e-05,0
13,9,1.1422896022850182e-05,0
14,9,8.02012891654158e-06,0
15,9,4.808868652617093e-06,0
16,9,2.020911779254675e-05,0
17,9,0.040420982986688614,0
18,9,2.4643329652462853e-06,0
19,9,4.6455584197246935e-06,0
20,9,5.7609317991591524e-06,0
21,9,9.669381142884959e-06,0
22,9,2.008707269851584e-05,0
23,9,1.4576206012861803e-05,0
24,9,2.0830439098062925e-06,0
25,9,3.862769062834559e-06,0
26,9,4.031608477816917e-05,0
27,9,4.979456207365729e-06,0
28,9,0.019536910578608513,0
29,9,2.6705150958150625e-05,0
30,9,1.6450929251732305e-05,0
1,10,1.7656395357334986e-05,0
2,10,3.5771934108197456e-06,0
3,10,1.992230500036385e-05,0
4,10,1.7276516928177443e-06,0
5,10,1.3075351489533205e-05,0
6,10,4.3411833758000284e-05,0
7,10,2.7974021577392705e-05,0
8,10,7.863402061047964e-06,0
9,10,1.041961968439864e-05,0
10,10,5.579579919867683e-06,0
11,10,2.0636965928133577e-05,0
12,10,1.866847560449969e-05,0
13,10,3.751392068807036e-05,0
14,10,1.3331462469068356e-05,0
15,10,3.894170276907971e-06,0
16,10,2.189845690736547e-05,0
17,10,0.04849453642964363,0
18,10,6.193056833581068e-06,0
19,10,3.2449609079776565e-06,0
20,10,4.806592642125906e-06,0
21,10,5.58803731109947e-06,0
22,10,1.8379223547526635e-05,0
23,10,1.7024894987116568e-05,0
24,10,5.336597496352624e-06,0
25,10,1.1507783028719132e-06,0
26,10,3.263741746195592e-05,0
27,10,4.459498541109497e-06,0
28,10,2.1918818049471156e-07,0
29,10,4.538908979156986e-05,0
30,10,2.893020791816525e-06,0
1,11,1.2901570698886644e-05,0
2,11,9.125451470026746e-06,0
3,11,1.9726356185856275e-05,0
4,11,3.636849214672111e-06,0
5,11,4.804231593880104e-06,0
6,11,8.114544698401005e-07,0
7,11,2.8201669920235872e-05,0
8,11,7.443646609317511e-06,0
9,11,1.066737877408741e-05,0
10,11,9.066609891306143e-06,0
11,11,4.5366618905973155e-06,0
12,11,2.9586328309960663e-05,0
13,11,2.161450174753554e-05,0
14,11,1.6495805539307185e-05,0
15,11,1.3718669151785434e-06,0
16,11,2.7530737497727387e-05,0
17,11,0.048362310975790024,0
18,11,2.7599496661423473e-06,0
19,11,4.287733190722065e-06,0
20,11,7.131088750611525e-07,0
21,11,8.549613266950473e-05,0
22,11,1.2560829418362118e-05,0
23,11,1.874160261650104e-05,0
24,11,2.347380723222159e-05,0
25,11,9.876598596747499e-06,0
26,11,4.4351083488436416e-05,0
27,11,5.978707577014575e-06,0
28,11,0.03973892331123352,0
29,11,4.987987267668359e-06,0
30,11,1.4136314348434098e-05,0
1,12,2.3979740944923833e-05,0
2,12,8.503928256686777e-06,0
3,12,1.841236553445924e-05,0
4,12,1.1370111678843386e-05,0
5,12,2.1186228877922986e-06,0
6,12,4.81644892715849e-05,0
7,12,1.934899228217546e-05,0
8,12,1.156868711404968e-05,0
9,12,6.040409971319605e-06,0
10,12,7.553087925771251e-06,0
11,12,8.556001375836786e-06,0
12,12,2.127639345417265e-05,0
13,12,1.239703760802513e-05,0
14,12,1.9156892449245788e-05,0
15,12,7.486251433874713e-06,0
16,12,1.9203132978873327e-05,0
17,12,0.045574795454740524,0
18,12,3.912936335837003e-06,0
19,12,4.308976258471375e-06,0
20,12,1.259743498849275e-06,0
21,12,6.97630684953765e-06,0
22,12,3.1614610634278506e-05,0
23,12,1.4809868844167795e-05,0
24,12,1.7872249372885562e-05,0
25,12,1.1304216968710534e-05,0
26,12,5.5074731790227816e-05,0
27,12,4.473605258681346e-06,0
